date,usd_inr_rate
2017-10-07,65.4242
2017-10-08,65.4242
2017-10-09,65.4234
2017-10-10,65.215
2017-10-11,65.1601
2017-10-12,65.0451
2017-10-14,64.7
2017-10-15,64.683
2017-10-16,64.7002
2017-10-17,65.029
2017-10-18,65.065
2017-10-19,64.995
2017-10-20,65.0409
2017-10-21,65.0405
2017-10-22,65.1141
2017-10-23,65.0218
2017-10-24,65.2012
2017-10-25,64.9249
2017-10-26,64.925
2017-10-27,64.96
2017-10-28,65.0405
2017-10-29,64.8834
2017-10-30,64.8399
2017-10-31,64.749
2017-11-01,64.564
2017-11-02,64.57275
2017-11-03,64.66005
2017-11-04,64.5605
2017-11-05,64.7034
2017-11-06,64.6151
2017-11-07,65.155
2017-11-08,64.9385
2017-11-09,65.095
2017-11-10,65.36
2017-11-11,65.1905
2017-11-12,65.1905
2017-11-13,65.47225
2017-11-14,65.4218
2017-11-15,65.345
2017-11-16,65.24
2017-11-17,65.0135
2017-11-18,65.0155
2017-11-19,64.915
2017-11-20,65.0388
2017-11-21,64.815
2017-11-22,64.879
2017-11-23,64.5951
2017-11-24,64.56
2017-11-25,64.555
2017-11-26,64.555
2017-11-27,64.4788
2017-11-28,64.41225
2017-11-29,64.40005
2017-11-30,64.471
2017-12-01,64.545
2017-12-02,64.5205
2017-12-03,64.519
2017-12-04,64.3867
2017-12-05,64.375
2017-12-06,64.555
2017-12-07,64.545
2017-12-08,64.4414
2017-12-09,64.483
2017-12-11,64.3661
2017-12-12,64.565
2017-12-13,64.3763
2017-12-14,64.24
2017-12-15,64.0522
2017-12-16,64.0805
2017-12-17,64.0823
2017-12-18,64.24
2017-12-19,64.055
2017-12-20,63.9798
2017-12-21,64.0285
2017-12-22,64.019
2017-12-23,64.0178
2017-12-24,64.0178
2017-12-25,64.019
2017-12-26,64.04
2017-12-27,64.1521
2017-12-28,64.0785
2017-12-29,63.82
2017-12-30,63.8405
2017-12-31,63.8508
2018-01-01,63.83805
2018-01-02,63.455
2018-01-03,63.4401
2018-01-04,63.399
2018-01-05,63.295
2018-01-06,63.3405
2018-01-07,63.275
2018-01-08,63.489
2018-01-09,63.675
2018-01-10,63.7724
2018-01-11,63.6605
2018-01-12,63.6191
2018-01-13,63.5985
2018-01-14,63.5985
2018-01-15,63.525
2018-01-16,64.01735
2018-01-17,63.865
2018-01-18,63.88025
2018-01-19,63.8485
2018-01-20,63.8305
2018-01-21,63.8305
2018-01-22,63.965
2018-01-23,63.7693
2018-01-24,63.595
2018-01-25,63.4681
2018-01-26,63.61
2018-01-27,63.585
2018-01-28,63.585
2018-01-29,63.6625
2018-01-30,63.7801
2018-01-31,63.5837
2018-02-01,63.9637
2018-02-02,64.1271
2018-02-03,64.1425
2018-02-04,64.1425
2018-02-05,64.0685
2018-02-06,64.2633
2018-02-07,64.2258
2018-02-08,64.48
2018-02-09,64.365
2018-02-10,64.2213
2018-02-11,64.2213
2018-02-12,64.2945
2018-02-13,64.274
2018-02-14,64.0959
2018-02-15,63.9358
2018-02-16,64.355
2018-02-17,64.39
2018-02-18,64.39
2018-02-19,64.4725
2018-02-20,64.91
2018-02-21,64.77225
2018-02-22,64.9867
2018-02-23,64.875
2018-02-24,64.7105
2018-02-25,64.7105
2018-02-26,64.7916
2018-02-27,65.125
2018-02-28,65.235
2018-03-01,65.265
2018-03-02,65.2419
2018-03-03,65.1967
2018-03-04,65.1967
2018-03-05,65.064
2018-03-06,64.9055
2018-03-07,64.955
2018-03-08,65.145
2018-03-09,64.9991
2018-03-10,65.005
2018-03-11,65.005
2018-03-12,64.9919
2018-03-13,64.71
2018-03-14,64.85225
2018-03-15,64.9514
2018-03-16,65.065
2018-03-17,65.075
2018-03-18,65.075
2018-03-19,65.3104
2018-03-20,65.28
2018-03-21,65.2083
2018-03-22,65.11
2018-03-23,64.9915
2018-03-24,64.9905
2018-03-25,65.025
2018-03-26,64.6977
2018-03-27,64.835
2018-03-28,65.135
2018-03-29,65.08
2018-03-30,65.0299
2018-04-01,65.1155
2018-04-02,65.135
2018-04-03,65.0062
2018-04-04,65.005
2018-04-05,64.835
2018-04-06,64.905
2018-04-07,64.9145
2018-04-08,64.9145
2018-04-09,64.835
2018-04-10,64.9599
2018-04-11,65.1645
2018-04-12,65.2922
2018-04-13,65.2549
